Skin_Tone_Name,Skin_Tone_Level,Undertone_Type,Upper_Wear_Colors,Example_Outfit_Ideas
Tan,6,cool,"Navy Blue, Crisp White, Steel Blue, Charcoal Grey, Emerald Green, Royal Purple, Cool Pink, Silver Grey, Icy Blue, Deep Teal","Navy blue shirt with beige chinos and silver watch | Emerald green top with white jeans and pearl necklace"
Tan,6,neutral,"Classic Black, Pure White, Medium Grey, Sage Green, Taupe Brown, Soft Beige, Dusty Rose, Slate Blue, Warm Ivory, Mushroom Grey","Charcoal grey shirt with dark denim and black leather belt | Sage green cardigan with cream-colored pants"
Medium Brown,7,warm,"Warm Brown, Terracotta, Camel, Burnt Orange, Mustard Yellow, Rust Red, Golden Beige, Coral Pink, Olive Green, Cream White","Terracotta blouse with black trousers and gold accessories | Burnt orange sweater with dark denim jeans"
Medium Brown,7,cool,"Navy Blue, Crisp White, Steel Blue, Charcoal Grey, Emerald Green, Royal Purple, Cool Pink, Silver Grey, Icy Blue, Deep Teal","Navy blue shirt with beige chinos and silver watch | Emerald green top with white jeans and pearl necklace"
Medium Brown,7,neutral,"Classic Black, Pure White, Medium Grey, Sage Green, Taupe Brown, Soft Beige, Dusty Rose, Slate Blue, Warm Ivory, Mushroom Grey","Charcoal grey shirt with dark denim and black leather belt | Sage green cardigan with cream-colored pants"
Deep Brown,8,warm,"Warm Brown, Terracotta, Camel, Burnt Orange, Mustard Yellow, Rust Red, Golden Beige, Coral Pink, Olive Green, Cream White","Terracotta blouse with black trousers and gold accessories | Burnt orange sweater with dark denim jeans"
Deep Brown,8,cool,"Navy Blue, Crisp White, Steel Blue, Charcoal Grey, Emerald Green, Royal Purple, Cool Pink, Silver Grey, Icy Blue, Deep Teal","Navy blue shirt with beige chinos and silver watch | Emerald green top with white jeans and pearl necklace"
Deep Brown,8,neutral,"Classic Black, Pure White, Medium Grey, Sage Green, Taupe Brown, Soft Beige, Dusty Rose, Slate Blue, Warm Ivory, Mushroom Grey","Charcoal grey shirt with dark denim and black leather belt | Sage green cardigan with cream-colored pants"
Dark Espresso,9,warm,"Warm Brown, Terracotta, Camel, Burnt Orange, Mustard Yellow, Rust Red, Golden Beige, Coral Pink, Olive Green, Cream White","Terracotta blouse with black trousers and gold accessories | Burnt orange sweater with dark denim jeans"
Dark Espresso,9,cool,"Navy Blue, Crisp White, Steel Blue, Charcoal Grey, Emerald Green, Royal Purple, Cool Pink, Silver Grey, Icy Blue, Deep Teal","Navy blue shirt with beige chinos and silver watch | Emerald green top with white jeans and pearl necklace"
Dark Espresso,9,neutral,"Classic Black, Pure White, Medium Grey, Sage Green, Taupe Brown, Soft Beige, Dusty Rose, Slate Blue, Warm Ivory, Mushroom Grey","Charcoal grey shirt with dark denim and black leather belt | Sage green cardigan with cream-colored pants"
Ebony,10,warm,"Warm Brown, Terracotta, Camel, Burnt Orange, Mustard Yellow, Rust Red, Golden Beige, Coral Pink, Olive Green, Cream White","Terracotta blouse with black trousers and gold accessories | Burnt orange sweater with dark denim jeans"
Ebony,10,cool,"Navy Blue, Crisp White, Steel Blue, Charcoal Grey, Emerald Green, Royal Purple, Cool Pink, Silver Grey, Icy Blue, Deep Teal","Navy blue shirt with beige chinos and silver watch | Emerald green top with white jeans and pearl necklace"
Ebony,10,neutral,"Classic Black, Pure White, Medium Grey, Sage Green, Taupe Brown, Soft Beige, Dusty Rose, Slate Blue, Warm Ivory, Mushroom Grey","Charcoal grey shirt with dark denim and black leather belt | Sage green cardigan with cream-colored pants"
